,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,inverse_difference_moments,entropy,y
0,10.303232,10.565696,7.202128,26.68956804360415,29.214835478495925,20.51474065816129,204.49216211643574,0.8543458896167084,0.821192188495001,3.1630982300306276,0
1,39.378544,47.337776,27.920192,43.021095667591545,51.13894175062507,34.96775747289403,570.381479403166,0.8654249372682556,0.48694111688146563,8.337872484638003,0
2,26.627872,34.7124,20.4484,39.06522853832569,50.31835822281963,31.210937208613267,550.7021947032981,0.8551590654923793,0.6544556341540644,5.768556860852243,0
3,27.12928,31.664864,21.621744,42.73174733943839,49.64563904172756,35.00829036668977,424.73554509368637,0.8930353277518062,0.6818065024454641,5.436425023770709,0
4,81.850864,83.866048,69.0024,61.54660528781018,62.831656041057016,54.77803291685454,801.6290890772468,0.891343984844387,0.340556994768628,10.342284575534173,0
5,28.029968,29.882816,20.723056,37.029185650226985,40.086814140190086,31.354819821215113,367.3609938671528,0.8680472698883152,0.546512387988683,7.424250619624368,0
6,68.73648,68.191312,58.581568,63.46985575223564,62.330225282110575,56.82423330465072,592.272350174574,0.921361002375128,0.45291745885918044,8.78019151717421,0
7,31.246112,37.94016,25.00568,46.30360405933275,53.38846530079695,40.84113670966566,649.7401531026658,0.8632419974536254,0.6231839524228996,6.446866840131308,0
8,31.837584,37.302416,23.058032,48.06561453932473,57.16485788107011,38.580044690059346,580.8369509258374,0.8878397105152638,0.6234674100845937,6.514698460657907,0
9,28.107664,32.31664,27.51008,33.83784875643107,35.890787162033654,33.93477900905795,208.11370005650696,0.9143911111479738,0.5357773190845957,7.223940673736949,0
10,90.115904,90.454944,83.922512,63.05677218398342,59.702471925012155,61.02775810735518,546.3780398022928,0.9266173264869914,0.28104687912160625,11.15011299499546,0
11,26.059872,26.902976,18.851808,41.9526861040341,43.82485680916053,33.222977938937625,367.74558333515074,0.8899832777544016,0.6586659670627368,5.867304575405072,0
12,27.89632,33.649984,21.433056,46.44933276654898,55.622703717095085,38.08733729864644,608.1985020407168,0.875427931962295,0.6836886675906926,5.566547701406093,0
13,27.593504,33.875936,23.038144,42.05646805191782,50.15001048976863,36.95137931167474,466.2081295564481,0.8853628952604633,0.6569957607215877,5.831281829450081,0
14,46.069632,50.620848,39.007024,47.44268845021935,52.325133117469434,43.927038765018345,586.888801049621,0.8781724738236689,0.432297036279866,9.227720942517463,0
15,36.22576,39.1496,31.615056,41.27313131351194,44.802259093041286,40.05672889936052,348.71319001501314,0.9043012980140648,0.4657707808267625,8.678932352171122,0
16,18.331456,22.525744,17.255984,31.62309979935654,37.700809875206446,30.29251987193776,243.0816161609338,0.896986877650104,0.7103510251711886,4.918224887667956,0
17,67.65992,68.3548,56.660992,58.724092309661124,58.861662539890936,51.93665943797248,761.7615207416493,0.8838583433644666,0.3952673895484319,9.754200459883688,0
18,44.859776,50.643728,32.768992,55.78651006497739,63.137341837157,43.52400766593003,672.749464437621,0.896924516619613,0.569906633155586,7.329492820289494,0
19,49.844704,51.263552,36.866224,61.52222917899175,63.74532588624279,47.207996695282716,591.8173610147961,0.9166069720134945,0.6023835524592416,6.771489712335304,0
20,22.264096,22.100768,14.03864,38.49637548267089,40.73788828363807,28.284457833771537,317.8102308125984,0.8867026216318394,0.713555825015814,4.927872570793474,0
21,37.549312,42.873424,35.016224,44.21023791302933,50.1411112213942,43.84976780761586,434.48054657360956,0.9017310228284455,0.4981455070800453,8.282828634459703,0
22,31.721952,35.168976,25.84424,49.756435898380985,55.48041246342194,42.45253399765908,445.992513629304,0.9140388626744993,0.6719080212343365,5.757720022377908,0
23,48.462112,53.065264,43.8012,56.63796568115292,62.02724237470422,51.98757219336176,458.20592607394343,0.9322943258567119,0.5561473884421884,7.293519613436502,0
24,31.140832,36.99256,29.694032,43.19730443381596,50.84539979827478,43.14430075436356,373.9281167403934,0.9154076219061901,0.6038074890626353,6.694558940623924,0
